数据库：分省年度数据
时间：2011年-2022年
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,7469.15,7205.12,7116.18,7408.19,7471.43,6824.53,6406.77,5737.70,4524.67,4173.66,3685.31,3245.23
天津市,2729.83,3152.55,3151.35,3555.71,3103.16,3282.54,3699.43,3232.35,2884.70,2549.21,2143.21,1796.33
河北省,9305.64,8848.21,9022.79,8309.04,7726.21,6639.18,6049.53,5632.19,4677.30,4409.58,4079.44,3537.39
山西省,5876.50,5046.62,5110.87,4710.76,4283.91,3756.42,3428.86,3422.97,3085.28,3030.13,2759.46,2363.85
内蒙古自治区,5887.70,5239.57,5270.16,5100.91,4831.46,4529.93,4512.71,4252.96,3879.98,3686.52,3425.99,2989.21
辽宁省,6261.43,5879.21,6014.17,5745.09,5337.72,4879.42,4577.47,4481.61,5080.49,5197.42,4558.59,3905.85
吉林省,4044.01,3696.84,4127.17,3933.42,3789.59,3725.72,3586.09,3217.10,2913.25,2744.81,2471.20,2201.74
黑龙江省,5451.99,5104.81,5449.41,5011.56,4676.75,4641.08,4227.34,4020.66,3434.22,3369.18,3171.52,2794.08
上海市,9393.00,8430.86,8102.11,8179.28,8351.54,7547.62,6918.94,6191.56,4923.44,4528.61,4184.02,3914.88
江苏省,14901.37,14585.26,13681.55,12573.55,11657.35,10621.03,9981.96,9687.58,8472.45,7798.47,7027.67,6221.72
浙江省,12017.78,11014.59,10082.01,10053.03,8629.53,7530.32,6974.26,6645.98,5159.57,4730.47,4161.88,3842.59
安徽省,8379.78,7591.05,7473.59,7392.22,6572.15,6203.81,5522.95,5239.01,4664.10,4349.69,3961.01,3302.99
福建省,5691.22,5204.72,5216.10,5077.93,4832.69,4684.15,4275.40,4001.58,3306.70,3068.80,2607.50,2198.18
江西省,7289.07,6778.87,6674.08,6386.80,5667.52,5111.47,4617.40,4412.55,3882.70,3470.30,3019.22,2534.60
山东省,12128.63,11713.16,11233.52,10739.76,10100.96,9258.40,8755.21,8250.01,7177.31,6688.80,5904.52,5002.07
河南省,10646.75,9784.29,10372.67,10163.93,9217.73,8215.52,7453.74,6799.35,6028.69,5582.31,5006.40,4248.82
湖北省,8623.87,7933.67,8442.88,7970.21,7258.27,6801.26,6422.98,6132.84,4934.15,4371.65,3759.79,3214.74
湖南省,8991.61,8325.50,8403.13,8034.42,7479.61,6869.39,6339.16,5728.72,5017.38,4690.89,4119.00,3520.76
广东省,18533.08,18247.01,17430.79,17297.85,15729.26,15037.48,13446.09,12827.80,9152.64,8411.00,7387.86,6712.40
广西壮族自治区,5893.32,5806.54,6179.47,5850.96,5310.74,4908.55,4441.70,4065.51,3479.79,3208.67,2985.23,2545.28
海南省,2097.37,1971.37,1972.46,1858.60,1691.30,1443.97,1376.48,1239.43,1099.74,1011.17,911.67,778.80
重庆市,4892.77,4835.06,4893.95,4847.68,4540.95,4336.28,4001.81,3792.00,3304.39,3062.28,3046.36,2570.24
四川省,11914.66,11215.69,11198.54,10348.17,9707.50,8694.76,8008.89,7497.51,6796.61,6220.91,5450.99,4674.92
贵州省,5851.36,5590.01,5739.50,5948.74,5029.68,4612.52,4262.36,3939.50,3542.80,3082.66,2755.68,2249.40
云南省,6699.79,6634.36,6974.02,6770.09,6075.03,5712.97,5018.86,4712.83,4437.98,4096.51,3572.66,2929.60
西藏自治区,2592.98,2027.01,2210.92,2187.75,1970.68,1681.94,1587.98,1381.46,1185.51,1014.31,905.34,758.11
陕西省,6760.98,6069.22,5930.32,5718.52,5302.44,4833.19,4389.37,4376.06,3962.50,3665.07,3323.80,2930.81
甘肃省,4257.16,4032.56,4163.40,3951.60,3772.23,3304.44,3150.03,2958.31,2541.49,2309.62,2059.56,1791.24
青海省,1975.10,1854.52,1932.84,1863.67,1647.43,1530.44,1524.80,1515.16,1347.43,1228.05,1159.05,967.47
宁夏回族自治区,1587.85,1427.89,1480.36,1438.29,1419.06,1372.78,1254.54,1138.49,1000.45,922.48,864.36,705.91
新疆维吾尔自治区,6835.40,5376.91,5533.16,5315.49,5012.45,4637.24,4138.25,3804.87,3317.79,3067.12,2720.07,2284.49
数,,,,,,,,,,,,
