数据库：分省年度数据
时间：2011年-2022年
地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,6960.4,7732.2,5899.8,5812.9,5477.4,5049.4,4665.8,4419.8,4433.0,4168.3,3856.0,3563.3
天津市,6092.7,5780.5,4966.6,5016.9,4835.3,4564.1,4368.0,4489.6,4615.5,4407.1,4134.0,3756.3
河北省,16406.7,16450.8,13938.0,13600.9,12904.1,12778.0,12332.3,11519.5,11476.9,11178.4,10919.7,10275.5
山西省,12667.1,10892.5,7440.2,7402.9,7074.5,6635.3,5113.6,5219.7,6378.0,6684.3,6852.7,6750.2
内蒙古自治区,10916.8,9646.5,6789.7,6774.0,6335.4,5874.2,5579.8,5269.5,5114.4,4870.1,4553.6,4044.0
辽宁省,10924.1,10664.9,9294.3,9510.3,9049.0,8328.9,7865.7,8344.6,9038.8,9204.2,8886.9,8478.7
吉林省,4274.9,4713.7,4337.3,4162.0,4051.5,3995.5,3901.4,3837.8,3804.9,3572.1,3315.2,2931.4
黑龙江省,4549.5,4082.3,3454.7,3668.0,3536.0,3519.5,3689.7,3926.9,4872.4,5202.7,5099.8,4916.3
上海市,11386.4,11425.4,10356.7,10317.1,10360.8,9525.9,8570.2,8408.7,8633.3,8286.5,8174.1,8169.3
江苏省,55343.4,53575.8,45391.4,44281.4,42129.4,39124.1,35041.5,33371.8,31048.8,29149.4,27150.8,25231.2
浙江省,32873.3,31370.7,26638.2,26643.3,25308.1,23246.7,21571.2,20606.5,19580.7,18162.8,17040.5,16271.0
安徽省,17697.0,16925.5,15286.7,14895.9,14094.4,12681.2,11517.5,10838.3,10982.6,10233.4,9247.9,8189.1
福建省,22470.0,22434.5,19509.7,19578.6,18847.8,16290.0,14683.7,13735.7,13165.1,11805.5,10527.0,9316.6
江西省,12832.9,12559.3,10631.7,10385.3,10081.2,9444.6,8732.5,8367.7,8238.7,7661.9,6893.3,6338.0
山东省,36037.2,34084.0,29008.0,28464.9,27523.7,26925.6,25565.0,24814.9,23588.0,22615.9,21275.9,19926.1
河南省,22122.5,22571.0,21416.6,22185.5,21446.8,20035.3,18140.6,17141.3,16582.3,15464.1,14528.2,13533.9
湖北省,19948.5,19241.3,16359.6,18397.1,17573.9,15713.9,14527.0,13569.5,13007.9,11846.3,11152.6,9766.1
湖南省,17519.8,17325.9,15577.3,14974.8,13904.1,13459.8,12942.0,12665.7,11825.1,10913.8,9926.7,8883.6
广东省,51341.4,49977.2,43756.4,43528.6,41398.5,38536.6,35499.2,33913.8,31930.4,29343.0,27346.1,26161.1
广西壮族自治区,8867.3,8523.3,7067.6,6870.3,6692.9,6138.3,5621.0,5391.0,5145.6,4709.3,4503.1,4241.2
海南省,1281.4,1233.1,1074.6,1095.6,1053.1,996.4,904.0,882.9,826.5,750.9,747.2,671.3
重庆市,10477.4,10679.5,9646.0,9059.8,8842.2,8455.0,7765.4,7208.0,6774.6,5988.6,5308.1,4571.3
四川省,20314.0,20016.5,17594.8,17202.7,16056.9,14569.2,13450.1,13192.5,13082.7,12418.9,11231.1,10014.4
贵州省,6360.7,6351.8,5881.1,5836.6,5506.2,4970.9,4468.7,4026.7,3582.4,3171.0,2716.8,2258.9
云南省,9985.8,9535.2,8427.8,8152.1,7267.5,6317.8,5747.4,5491.7,5376.5,5000.5,4458.4,3811.4
西藏自治区,770.2,748.4,708.0,638.8,582.7,469.6,390.4,341.8,310.3,270.8,226.1,195.6
陕西省,14264.7,12963.3,10721.1,11590.2,11215.3,10114.1,8906.5,8664.6,9045.0,8418.0,7612.3,6484.3
甘肃省,3981.5,3531.6,2891.9,2914.2,2761.6,2515.7,2483.5,2505.4,2823.3,2674.0,2493.3,2288.6
青海省,1618.7,1389.7,1157.5,1172.0,1093.7,975.7,867.7,761.1,714.8,681.0,620.2,553.1
宁夏回族自治区,2318.6,2036.6,1604.8,1588.0,1488.1,1406.0,1179.7,1116.8,1113.7,1059.5,992.5,919.8
新疆维吾尔自治区,7312.7,6281.3,4798.5,4824.9,4657.2,4096.2,3446.1,3446.1,3829.3,3479.9,3325.9,3093.4
数,,,,,,,,,,,,
