province,capital_city,source_name,adcode,longitude,latitude,source
北京,北京,北京市,110000,116.405285,39.904989,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
天津,天津,天津市,120000,117.190182,39.125596,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
河北,石家庄,河北省,130000,114.502461,38.045474,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
山西,太原,山西省,140000,112.549248,37.857014,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
内蒙古,呼和浩特,内蒙古自治区,150000,111.670801,40.818311,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
辽宁,沈阳,辽宁省,210000,123.429096,41.796767,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
吉林,长春,吉林省,220000,125.3245,43.886841,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
黑龙江,哈尔滨,黑龙江省,230000,126.642464,45.756967,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
上海,上海,上海市,310000,121.472644,31.231706,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
江苏,南京,江苏省,320000,118.767413,32.041544,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
浙江,杭州,浙江省,330000,120.153576,30.287459,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
安徽,合肥,安徽省,340000,117.283042,31.86119,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
福建,福州,福建省,350000,119.306239,26.075302,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
江西,南昌,江西省,360000,115.892151,28.676493,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
山东,济南,山东省,370000,117.000923,36.675807,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
河南,郑州,河南省,410000,113.665412,34.757975,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
湖北,武汉,湖北省,420000,114.298572,30.584355,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
湖南,长沙,湖南省,430000,112.982279,28.19409,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
广东,广州,广东省,440000,113.280637,23.125178,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
广西,南宁,广西壮族自治区,450000,108.320004,22.82402,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
海南,海口,海南省,460000,110.33119,20.031971,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
重庆,重庆,重庆市,500000,106.504962,29.533155,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
四川,成都,四川省,510000,104.065735,30.659462,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
贵州,贵阳,贵州省,520000,106.713478,26.578343,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
云南,昆明,云南省,530000,102.712251,25.040609,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
陕西,西安,陕西省,610000,108.948024,34.263161,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
甘肃,兰州,甘肃省,620000,103.823557,36.058039,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
青海,西宁,青海省,630000,101.778916,36.623178,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
宁夏,银川,宁夏回族自治区,640000,106.278179,38.46637,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
新疆,乌鲁木齐,新疆维吾尔自治区,650000,87.617733,43.792818,高德地图公开数据，经CSDN/GitCode资源整理，更新时间2023-03-31
