province_i,province_j,weight
北京,天津,1
北京,河北,1
天津,北京,1
天津,河北,1
河北,北京,1
河北,天津,1
河北,山西,1
河北,内蒙古,1
河北,辽宁,1
河北,山东,1
河北,河南,1
山西,河北,1
山西,内蒙古,1
山西,陕西,1
山西,河南,1
内蒙古,黑龙江,1
内蒙古,吉林,1
内蒙古,辽宁,1
内蒙古,河北,1
内蒙古,山西,1
内蒙古,陕西,1
内蒙古,宁夏,1
内蒙古,甘肃,1
辽宁,河北,1
辽宁,内蒙古,1
辽宁,吉林,1
吉林,辽宁,1
吉林,内蒙古,1
吉林,黑龙江,1
黑龙江,内蒙古,1
黑龙江,吉林,1
上海,江苏,1
上海,浙江,1
江苏,山东,1
江苏,安徽,1
江苏,浙江,1
江苏,上海,1
浙江,上海,1
浙江,江苏,1
浙江,安徽,1
浙江,江西,1
浙江,福建,1
安徽,江苏,1
安徽,浙江,1
安徽,江西,1
安徽,湖北,1
安徽,河南,1
安徽,山东,1
福建,浙江,1
福建,江西,1
福建,广东,1
江西,浙江,1
江西,福建,1
江西,广东,1
江西,湖南,1
江西,湖北,1
江西,安徽,1
山东,河北,1
山东,河南,1
山东,安徽,1
山东,江苏,1
河南,河北,1
河南,山西,1
河南,陕西,1
河南,湖北,1
河南,安徽,1
河南,山东,1
湖北,河南,1
湖北,安徽,1
湖北,江西,1
湖北,湖南,1
湖北,重庆,1
湖北,陕西,1
湖南,湖北,1
湖南,江西,1
湖南,广东,1
湖南,广西,1
湖南,贵州,1
湖南,重庆,1
广东,福建,1
广东,江西,1
广东,湖南,1
广东,广西,1
广东,海南,1
广西,广东,1
广西,湖南,1
广西,贵州,1
广西,云南,1
海南,广东,1
重庆,湖北,1
重庆,湖南,1
重庆,贵州,1
重庆,四川,1
重庆,陕西,1
四川,重庆,1
四川,贵州,1
四川,云南,1
四川,西藏,1
四川,青海,1
四川,甘肃,1
四川,陕西,1
贵州,重庆,1
贵州,四川,1
贵州,云南,1
贵州,广西,1
贵州,湖南,1
云南,四川,1
云南,贵州,1
云南,广西,1
云南,西藏,1
西藏,云南,1
西藏,四川,1
西藏,青海,1
西藏,新疆,1
陕西,内蒙古,1
陕西,山西,1
陕西,河南,1
陕西,湖北,1
陕西,重庆,1
陕西,四川,1
陕西,甘肃,1
陕西,宁夏,1
甘肃,内蒙古,1
甘肃,宁夏,1
甘肃,陕西,1
甘肃,四川,1
甘肃,青海,1
甘肃,新疆,1
青海,甘肃,1
青海,四川,1
青海,西藏,1
青海,新疆,1
宁夏,内蒙古,1
宁夏,陕西,1
宁夏,甘肃,1
新疆,甘肃,1
新疆,青海,1
新疆,西藏,1
