,coef,std_err,t_value,p_value
Intercept,0.24785308983987075,1.4556858470608307,0.17026550772634763,0.8648013359915955
C(year)[T.2012],0.10105279433954051,0.564486014112583,0.17901735705251007,0.8579240728893736
C(year)[T.2013],0.34861138958577276,0.9081349609058844,0.38387619086707697,0.7010702138366931
C(year)[T.2014],0.2934706408123344,1.0370010517310189,0.2829993666086039,0.7771773225386882
C(year)[T.2015],0.5549368972574589,1.2727896053445775,0.4360004944471737,0.6628363708295937
C(year)[T.2016],0.6353658603696268,1.2618891624334705,0.5035036984899414,0.6146101806839958
C(year)[T.2017],0.7142368248734179,1.5671162282720434,0.4557650619577593,0.648558930449099
C(year)[T.2018],0.8271432921146182,1.7578579143516897,0.47054047165107454,0.6379689263010999
C(year)[T.2019],0.8021006842702313,1.8976046118144205,0.4226911545621149,0.6725206100789761
C(year)[T.2020],1.0087607026240142,2.0155821785248444,0.5004810587094501,0.6167363900153351
C(year)[T.2021],1.2996769002607733,2.167716631517852,0.5995603306096007,0.548799291459366
C(year)[T.2022],1.5334633878395918,2.230323458256153,0.6875520150061899,0.4917349346456148
digital_finance,-8.416885239281077e-05,0.007268941539715322,-0.011579244644208148,0.9907613059254216
gdp_per_capita,0.046555422673868224,0.079828547492446,0.583192656465078,0.5597636141631388
industrial_structure,4.96613717487052,1.4814359375267134,3.352245648341422,0.0008015885982590116
urbanization,7.279352952411423,1.435312878563754,5.071614043967549,3.944557633668761e-07
government_intervention,0.7141358502277948,1.330875819219409,0.5365908974487589,0.5915502330892548
innovation,-0.9517939215257898,0.12076763250942954,-7.881200465294157,3.2425061010719687e-15
energy_structure,7.419883696823786,1.049446550034713,7.070282613800917,1.546184753330243e-12
