province,region,policy_type,topsis_rank,topsis_score,topsis_group,digital_finance_mean,innovation_mean,gdp_per_capita_mean,carbon_intensity_mean,energy_structure_mean,weight_digital_finance,weight_innovation,weight_gdp_per_capita,weight_carbon_intensity,weight_energy_structure
北京,东部,示范引领型,1,0.9657661295731438,示范扩散优先,304.78500792803123,10.562997250634409,12.029928796594513,0.32316935315671064,0.0662992716321794,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
上海,东部,示范引领型,2,0.9290948099236382,示范扩散优先,310.7681759803204,9.810268773462505,12.264354474050549,0.5770565525661873,0.145008197076522,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
浙江,东部,示范引领型,3,0.6715320010513163,示范扩散优先,294.28598137460125,10.118292578361663,8.072686796362197,0.8789987154309405,0.16583664421144176,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
江苏,东部,示范引领型,4,0.654953826769897,示范扩散优先,273.27067780085514,10.406265988120394,9.38659103335569,0.857445457443461,0.2994973326477168,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
天津,东部,示范引领型,5,0.6064698817875476,示范扩散优先,262.6544651834056,8.480289068557573,8.689580508931261,1.1937374207963005,0.23223100793441595,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
广东,东部,示范引领型,6,0.5544829062684342,示范扩散优先,271.9095049309603,10.640730843839298,6.850104193184019,0.6817457538192153,0.18151049840171365,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
福建,东部,示范引领型,7,0.547139724779562,示范扩散优先,272.8299352449904,8.747319487144106,7.493004499700007,0.8411226994163288,0.28755311278090573,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
山东,东部,转型压力型,8,0.3922656833563767,示范扩散优先,246.06013297234765,9.729886707315696,6.192691364403712,1.8622833268957784,0.35795307627013845,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
海南,东部,转型压力型,9,0.3870461883682967,示范扩散优先,247.0053721614629,6.237364238384996,4.0591408099455695,1.602444019026958,0.09677864458131441,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
湖北,中部,示范引领型,10,0.3590734435111379,示范扩散优先,255.1041163956678,9.119546982292528,5.577330967564541,0.8961924439019592,0.4190391529844539,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
重庆,西部,示范引领型,11,0.35823051722683136,稳步优化,245.47751613623927,8.460002050700599,5.824850308868388,0.7975932245169233,0.36875504904390694,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
辽宁,东北,转型压力型,12,0.3330285025973531,稳步优化,239.18529432132118,8.731286437819264,5.185118122457417,2.5489139485414496,0.314505581497344,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
陕西,西部,转型压力型,13,0.2938388485644441,稳步优化,241.2469497661599,8.932576995096372,5.154794889360628,2.74639264788104,0.4337108285006004,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
四川,西部,示范引领型,14,0.2898027892773609,稳步优化,238.10815830879065,9.133919939685788,4.184860538835125,0.8301710448834644,0.32374157193393416,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
安徽,中部,转型压力型,15,0.2779778425622159,稳步优化,244.5836749391348,9.19742629627412,4.50189561278719,1.4925064354984003,0.43052730902551023,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
内蒙古,西部,重点扶持型,16,0.26388998265574065,稳步优化,226.35044578407562,6.713030011742035,5.900374343973451,6.13527355210523,0.49524729587176614,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
河南,中部,稳态优化型,17,0.25685857300825116,稳步优化,235.9712721440965,8.716449776626929,4.223806789006171,1.3906396983758018,0.3802270820970828,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
湖南,中部,稳态优化型,18,0.24867070624279738,稳步优化,232.54722966490257,8.851167008841394,4.755777465375023,0.8654421795418873,0.4506563546086734,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
新疆,西部,重点扶持型,19,0.247791961571649,稳步优化,219.3097097292916,6.658647988910572,4.36781936992755,4.205158291343171,0.3013405511390779,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
江西,中部,稳态优化型,20,0.23956951252966674,稳步优化,237.47786317497398,7.648759957346214,4.356390335250649,0.9197081105988109,0.42176821626482286,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
青海,西部,重点扶持型,21,0.2341362268798882,重点提升优先,206.92616629382704,5.33235111271424,3.800992657531863,2.4989709570117857,0.26398642674431383,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
吉林,东北,重点扶持型,22,0.2251279489028114,重点提升优先,221.3287818767468,7.855293846692745,4.455285085938484,2.0432158748234883,0.3802089992299628,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
黑龙江,东北,重点扶持型,23,0.221088905353113,重点提升优先,223.4748290436772,8.250739638541907,4.111984625547921,2.656321991033043,0.37371056898978233,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
广西,西部,稳态优化型,24,0.20773530988417224,重点提升优先,230.3985367039122,7.914702271255092,3.359615118092121,1.2657119602325473,0.37734294816214,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
河北,东部,重点扶持型,25,0.19538090923636675,重点提升优先,226.9295628032905,8.30098662982954,4.3830665349936755,1.9821434845909545,0.5026303221081735,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
山西,中部,重点扶持型,26,0.19109606489985784,重点提升优先,231.10081338849977,7.697250832189103,4.491393417343481,9.773398874497799,0.5452205053014555,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
甘肃,西部,重点扶持型,27,0.1778950922478081,重点提升优先,214.8991586207869,7.063303487561466,3.0600275965317505,2.4901877692763543,0.3499597814250202,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
宁夏,西部,重点扶持型,28,0.15946922177901654,重点提升优先,223.31857736715756,6.074127057683255,4.405567937707365,7.454309034791503,0.49726448676277446,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
云南,西部,稳态优化型,29,0.1547428538338519,重点提升优先,224.83562038952292,7.6085531946020355,3.4986002489524246,1.2645417231853886,0.466945223463006,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
贵州,西部,重点扶持型,30,0.08951054219367134,重点提升优先,215.6849665601052,7.3328201621133955,2.7248549959430264,3.2295800518769866,0.5248991312939995,0.2532593144809416,0.1275075964064196,0.3241332537288428,0.06374982441123754,0.23135001097255847
